Volume_(BTC),Volume_(Currency),Weighted_Price
3.1555,2243.655015,711.02995246
0.20777482,146.43772144,704.79051044
8.62924787,6411.0565253,742.94499612
12.77806648,9161.3575425,716.95960862
0.06728,48.1052,715.0
7.27377,5198.7509425,714.72578079
1.15995,805.424928,694.36176387
0.11682,82.3710219,705.11061376
1.33748,950.34565032,710.54942902
0.23414,167.234495,714.25
0.15999,119.6131339,747.62881368
2.19783898,1626.3885215,739.99439281
3.64012071,2733.1078307,750.82890058
0.12196656,91.558471666,750.68503749
5.07272,3722.8948804,733.90506088
0.41358,304.8283902,737.04818947
0.72258,538.6005621,745.385372
0.29544,218.2947072,738.88
0.03263,23.9279053,733.31
0.06134,45.2468376,737.64
1.17129,860.0313954,734.26
0.28176568,206.46720262,732.76206889
0.48406545,353.71124283,730.70954109
1.36809846,1004.86812,734.49985462
0.083145,62.11915855,747.11839016
1.50199,1151.9511024,766.94991471
0.43779,332.4546566,759.39298888
10.0,7639.1270979,763.91270979
0.17617708,133.4418057,757.43
0.0,0.0,756.16
0.49301,371.7138505,753.9681761
1.01328,775.67639682,765.51041846
0.02779,21.3938536,769.84
0.9881974,761.4000504,770.49388149
1.0278,788.35228,767.02887721
3.16082,2443.1693416,772.95427821
0.7838,610.713446,779.17
2.36841092,1848.1101041,780.31649342
0.25575,199.3750275,779.57
1.38855243,1084.3992351,780.9566363
0.22067,174.10921706,789.00266033
0.60192242,476.1087929,790.98032749
1.79179,1424.2283994,794.86346023
4.15124232,3280.9878651,790.3628871
0.16272,131.9678971,811.01215032
3.11069,2679.8722869,861.50413154
10.80923597,9820.1408787,908.49537433
2.61672,2386.2721431,911.93255034
4.10033,3529.7748136,860.85139821
0.6691588,600.64980651,897.61922956
0.21342,194.5914953,911.77722472
1.32624,1257.327801,948.03942048
5.35037,5252.6101648,981.72839726
0.42514,404.85219412,952.27970579
2.62627846,2526.5400375,962.02290654
1.28591,1246.1102445,969.04934599
0.52637,532.80023647,1012.216191
1.3919,1419.1724363,1019.593675
3.2725803,3473.4772687,1061.3879417
19.24032951,22462.579686,1167.4737522
2.65134,2611.9354217,985.13786301
5.90323,4982.9475316,844.10526637
0.50126,466.146737,929.95
2.63646,2350.3655007,891.48536321
0.47176,426.4804752,904.02
1.88855994,1730.2401205,916.16902586
0.22,166.8096,758.22545455
0.16904866,132.72310849,785.11777903
0.04,33.1972,829.93
0.0,0.0,824.09
5.71553,4797.6620838,839.40808355
1.14363,1019.1586108,891.16113673
0.0,0.0,897.11
0.0,0.0,893.75
0.82085616,737.04048033,897.89236683
3.2076,2945.762838,918.3697587
35.4102515,33150.743291,936.19056309
0.0,0.0,923.82022179
0.5764,529.10225,917.94283484
0.39320853,353.67945339,899.47044992
0.3466,312.348902,901.17975188
0.8423,775.539302,920.74
0.3352,309.731504,924.02
0.0837,77.414363,924.90278375
12.2770348,11302.007517,920.5812072
1.1749,1098.519751,934.99
1.54830624,1515.60727,978.88081236
0.56047219,554.21138625,988.8294123
1.42903517,1454.5011306,1017.8203876
0.2023,205.218337,1014.4257884
0.0418,43.0516677,1029.9442033
1.38890427,1417.3757255,1020.499221
11.5278,12073.295496,1047.32
118.59681393,125404.47135,1057.4016889
22.9013,24299.277273,1061.0435771
3.64582061,3585.0422613,983.32930903
0.1077,109.352757,1015.3459331
0.0,0.0,1013.4612511
0.52353288,531.59338635,1015.3963708
0.91,915.5683,1006.119011
0.7088,714.97380114,1008.7102161
1.07951362,1106.0282714,1024.5616645
1.8815,1963.425538,1043.5426723
2.407,2573.4648859,1069.1586564
3.6769951,3916.145756,1065.0396994
0.9997,1060.1751257,1060.4932736
0.5137,561.4741,1093.0
6.3968491,7142.1479917,1116.5103131
2.70097566,3057.659235,1132.0573081
11.46964376,13391.988088,1167.6027929
1.3078,1548.848878,1184.316316
3.301906,3836.7750099,1161.9879578
0.1215,143.983475,1185.049177
0.0,0.0,1192.3252271
2.12027862,2534.1809158,1195.2112764
13.6559535,16764.942654,1227.665476
2.42790765,3085.7045996,1270.9316187
0.0,0.0,1292.0741517
17.85917169,22334.912625,1250.613019
0.4607,590.456831,1281.6514673
0.8349,1067.9892529,1279.1822409
2.47596854,2933.1571397,1184.6504074
2.33452625,2743.0216532,1174.98
4.36676864,5219.6380631,1195.3090474
0.7402,885.909298,1196.8512537
0.9144,1088.07926,1189.9379484
2.21058604,2724.8714111,1232.6466203
2.882,3557.3606782,1234.3375011
0.1353,169.783911,1254.87
0.9529,1190.0919744,1248.915914
22.89269569,25296.451356,1105.000988
1.38743266,1474.1696748,1062.516198
8.2264657,8274.1593168,1005.7975829
0.2989,305.604595,1022.4308966
6.70786931,7278.2217234,1085.0273592
0.6963,759.99123677,1091.4709705
0.46867643,482.51245374,1029.521484
3.0136,3054.5793602,1013.5981418
1.6821,1514.741292,900.50608882
0.8015,776.027999,968.21958702
1.27218739,1248.8993454,981.69448556
0.8148,846.991828,1039.5088709
5.64328314,5724.0680184,1014.3152269
3.46425602,3622.7087073,1045.7393121
7.54210151,7942.562745,1053.0967708
2.48038412,2698.7497064,1088.0370039
4.71931277,5144.0981124,1090.01
0.756,864.195287,1143.115459
